"Номер операции","Дата","Код магазина","Код товара","Количество упаковок, шт.","Тип операции","Цена руб./шт."
"1","10/1/2021","M1","4","180","Поступление","75"
"2","10/1/2021","M1","4","180","Продажа","75"
"3","10/1/2021","M1","5","180","Поступление","70"
"4","10/1/2021","M1","5","170","Продажа","70"
"5","10/1/2021","M1","6","180","Поступление","50"
"6","10/1/2021","M1","2","180","Продажа","50"
"7","10/1/2021","M1","9","180","Поступление","55"
"8","10/1/2021","M1","9","150","Продажа","55"
"9","10/1/2021","M1","10","180","Поступление","70"
"10","10/1/2021","M1","10","150","Продажа","70"
"11","10/1/2021","M1","13","170","Поступление","60"
"12","10/1/2021","M1","13","120","Продажа","60"
"13","10/1/2021","M1","18","180","Поступление","49"
"14","10/1/2021","M1","18","80","Продажа","49"
"15","10/1/2021","M1","24","180","Поступление","50"
"16","10/1/2021","M1","24","159","Продажа","50"
"17","10/1/2021","M1","25","170","Поступление","52"
"18","10/1/2021","M1","2","159","Продажа","52"
"19","10/1/2021","M1","26","180","Поступление","47"
"20","10/1/2021","M1","2","159","Продажа","47"
"21","10/1/2021","M1","27","180","Поступление","45"
"22","10/1/2021","M1","27","159","Продажа","45"
"23","10/1/2021","M1","28","180","Поступление","38"
"24","10/1/2021","M1","28","133","Продажа","38"
"25","10/1/2021","M1","29","180","Поступление","85"
"26","10/1/2021","M1","29","27","Продажа","85"
"27","10/1/2021","M1","30","170","Поступление","44"
"28","10/1/2021","M1","30","106","Продажа","44"
"29","10/1/2021","M1","33","180","Поступление","50"
"30","10/1/2021","M1","33","106","Продажа","50"
"31","10/1/2021","M1","34","180","Поступление","65"
"32","10/1/2021","M1","34","53","Продажа","65"
"33","10/1/2021","M1","44","170","Поступление","180"
"34","10/1/2021","M1","44","80","Продажа","180"
"35","10/1/2021","M1","45","180","Поступление","170"
"36","10/1/2021","M1","45","53","Продажа","170"
"37","10/1/2021","M1","46","180","Поступление","330"
"38","10/1/2021","M1","46","106","Продажа","330"
"39","10/1/2021","M1","47","180","Поступление","370"
"40","10/1/2021","M1","47","32","Продажа","370"
"41","10/1/2021","M1","48","180","Поступление","180"
"42","10/1/2021","M1","48","80","Продажа","180"
"43","10/1/2021","M10","4","170","Поступление","75"
"44","10/1/2021","M10","4","180","Продажа","75"
"45","10/1/2021","M10","5","180","Поступление","70"
"46","10/1/2021","M10","5","180","Продажа","70"
"47","10/1/2021","M10","2","180","Поступление","50"
"48","10/1/2021","M10","6","165","Продажа","50"
"49","10/1/2021","M10","2","170","Поступление","55"
"50","10/1/2021","M10","9","150","Продажа","55"
"51","10/1/2021","M10","10","180","Поступление","70"
"52","10/1/2021","M10","10","150","Продажа","70"
"53","10/1/2021","M10","13","180","Поступление","60"
"54","10/1/2021","M10","13","120","Продажа","60"
"55","10/1/2021","M10","18","180","Поступление","49"
"56","10/1/2021","M10","2","80","Продажа","49"
"57","10/1/2021","M10","24","180","Поступление","50"
"58","10/1/2021","M10","24","159","Продажа","50"
"59","10/1/2021","M10","2","170","Поступление","52"
"60","10/1/2021","M10","25","159","Продажа","52"
"61","10/1/2021","M10","26","180","Поступление","47"
"62","10/1/2021","M10","26","159","Продажа","47"
"63","10/1/2021","M10","27","180","Поступление","45"
"64","10/1/2021","M10","27","159","Продажа","45"
"65","10/1/2021","M10","28","170","Поступление","38"
"66","10/1/2021","M10","28","133","Продажа","38"
"67","10/1/2021","M10","29","180","Поступление","85"
"68","10/1/2021","M10","29","27","Продажа","85"
"69","10/1/2021","M10","2","180","Поступление","44"
"70","10/1/2021","M10","30","106","Продажа","44"
"71","10/1/2021","M10","33","180","Поступление","50"
"72","10/1/2021","M10","33","106","Продажа","50"
"73","10/1/2021","M10","34","180","Поступление","65"
"74","10/1/2021","M10","34","53","Продажа","65"
"75","10/1/2021","M10","44","170","Поступление","180"
"76","10/1/2021","M10","44","80","Продажа","180"
"77","10/1/2021","M10","45","180","Поступление","170"
"78","10/1/2021","M10","45","53","Продажа","170"
"79","10/1/2021","M10","46","180","Поступление","330"
"80","10/1/2021","M10","46","106","Продажа","330"
"81","10/1/2021","M10","47","170","Поступление","370"
"82","10/1/2021","M10","47","32","Продажа","370"
"83","10/1/2021","M10","48","180","Поступление","180"
"84","10/1/2021","M10","48","80","Продажа","180"
"85","10/1/2021","M11","4","180","Поступление","75"
"86","10/1/2021","M11","4","115","Продажа","75"
"87","10/1/2021","M11","5","180","Поступление","70"
"88","10/1/2021","M11","5","60","Продажа","70"
"89","10/1/2021","M11","6","180","Поступление","50"
"90","10/1/2021","M11","6","72","Продажа","50"
"91","10/1/2021","M11","9","170","Поступление","55"
"92","10/1/2021","M11","9","90","Продажа","55"
"93","10/1/2021","M11","10","180","Поступление","70"
"94","10/1/2021","M11","10","90","Продажа","70"
"95","10/1/2021","M11","13","180","Поступление","60"
"96","10/1/2021","M11","13","80","Продажа","60"
"97","10/1/2021","M11","18","170","Поступление","49"
"98","10/1/2021","M11","18","56","Продажа","49"
"99","10/1/2021","M11","24","180","Поступление","50"
"100","10/1/2021","M11","24","111","Продажа","50"
"101","10/1/2021","M11","25","180","Поступление","52"
"102","10/1/2021","M11","25","109","Продажа","52"
"103","10/1/2021","M11","26","180","Поступление","47"
"104","10/1/2021","M11","26","114","Продажа","47"
"105","10/1/2021","M11","27","180","Поступление","45"
"106","10/1/2021","M11","27","112","Продажа","45"
"107","10/1/2021","M11","28","170","Поступление","38"
"108","10/1/2021","M11","28","93","Продажа","38"
"109","10/1/2021","M11","29","180","Поступление","85"
"110","10/1/2021","M11","29","19","Продажа","85"
"111","10/1/2021","M11","30","180","Поступление","44"
"112","10/1/2021","M11","30","74","Продажа","44"
"113","10/1/2021","M11","33","170","Поступление","50"
"114","10/1/2021","M11","33","74","Продажа","50"
"115","10/1/2021","M11","34","180","Поступление","65"
